,,,,,,
,Center ,Measure,Energy Saved,Money Saved ,Investment ,Pay back period 
,Asepeyo Paterna,Instalación Fotovoltaica,21291,5338,11700,2.19
,,Eliminación de la energía reactiva,0,376,665,1.77
,,Sistema de Gestión Energética,1807,453,1500,3.31
,,Promover la cultura energética,2410,604,0,0
,Asepeyo Silla,Instalación Fotovoltaica,6551,1684,3600,2.14
,,Eliminación de la energía reactiva,0,110,589,5.34
,,Sistema de Gestión Energética,1304,335,1500,4.47
,,Promover la cultura energética,1739,447,0,0
,Asepeyo Valencia (Baleares),Sustitución luminarias a LED,6465,2192,3163,1.44
,,Instalación de temporizador digital en termo eléctrico,2016,683,340,2.01
,,Sistema de Gestión Energética,3608,1223,1500,1.23
,,Regulación de la temperatura de consigna,6208,2105,0,0
,Asepeyo Valencia (Av. del Cid),Instalación de temporizador digital en termo eléctrico,874,297,34,0
,,Eliminación de la energía reactiva,0,2703,1530,1
,,Sistema de Gestión Energética,3541,1204,1500,1.25
,,Promover la cultura energética,4722,1606,0,0
,,Sustitución luminarias a LED,5225,1777,2854,2
,,Instalación Fotovoltaica,46677,15875,25650,1.62
Euskadi (País Vasco),Asepeyo Azpeitia,Regulación de la temperatura de consigna,769,256,0,0
,,Sistema de Gestión Energética,468,156,695,4.5
,,Instalación de temporizador digital en termo eléctrico,399,133,36,0.3
,,Reducción del consumo remanente,885,295,120,0.4
,,Instalación Fotovoltaica,10865,3618,9009,2.5
,,Instalación de temporizador digital en baño de parafina,499,166,36,0.2
,Asepeyo Basauri,Sistema de Gestión Energética,484,164,795,4.9
,,Instalación de temporizador digital en termo eléctrico,300,101,36,0.4
,,Reducción del consumo remanente,727,246,120,0.5
,,Regulación de la temperatura de consigna,741,251,0,0
,Asepeyo Bergara,Sustitución luminarias a LED,2268,754,809,1
,,Sistema de Gestión Energética,1160,386,1295,3.4
,,Instalación de temporizador digital en baño de parafina,1498,498,36,0.1
,,Instalación de temporizador digital en termo eléctrico,1650,549,108,0.2
,,Reducción del consumo remanente,2459,818,120,0.1
,,Instalación Fotovoltaica,24626,8193,23342,2.8
,,Eliminación de la energía reactiva,0,149,859,5.8
,Asepeyo Bilbao,Regulación de la temperatura de consigna,3504,1150,0,0
,,Sistema de Gestión Energética,2234,733,2295,3.1
,,Instalación de temporizador digital en baño de parafina,998,328,36,0.1
,,Instalación de temporizador digital en termo eléctrico,1398,459,72,0.2
,,Reducción del consumo remanente,2919,958,288,0.3
,Asepeyo Durango,Regulación de la temperatura de consigna,1922,636,0,0
,,Sistema de Gestión Energética,986,326,1295,4
,,Instalación de temporizador digital en baño de parafina,499,165,36,0.2
,,Instalación de temporizador digital en termo eléctrico,562,186,36,0.2
,,Reducción del consumo remanente,2082,689,216,0.3
,,Instalación Fotovoltaica,19312,6389,16790,2.6
,Asepeyo Llodio,Promover la cultura energética,522,167,0,0
,,Sistema de Gestión Energética,783,251,1195,4.8
,,Regulación de la temperatura de consigna,2559,819,0,0
,,Instalación de temporizador digital en termo eléctrico,2176,696,60,0.1
,,Reducción del consumo remanente,3788,1212,125,0
,Asepeyo Portugalete,Promover la cultura energética,578,194,0,0
,,Sistema de Gestión Energética,1012,339,1500,4.43
,,Instalación cortina de aire en puerta de entrada,1038,348,1150,3.31
,,Instalación de temporizador digital en termo eléctrico,657,220,0,0
,Asepeyo San Sebastián,Promover la cultura energética,1460,487,0,0
,,Sistema de Gestión Energética,2191,731,1495,2
,,Regulación de la temperatura de consigna,3614,1205,0,0
,,Instalación de temporizador digital en baño de parafina,2808,936,90,0.1
,,Reducción del consumo remanente,2768,923,125,0
,Asepeyo Tolosa,Promover la cultura energética,418,141,0,0
,,Sistema de Gestión Energética,627,211,995,4.7
,,Instalación de temporizador digital en baño de parafina,499,168,30,0.2
,,Mejora en el control de la iluminación,294,99,108,1.1
,,Reducción del consumo remanente,861,290,60,0.2
,,Instalación cortina de aire en puerta de entrada,702,236,1150,4.9
,Asepeyo Vitoria-Gasteiz,Sistema de Gestión Energética,1322,438,1500,3.4
,,Promover la cultura energética,661,219,0,0
,,Regulación de la temperatura de consigna,1076,356,0,0
,,Instalación Fotovoltaica,11214,3713,9000,2.4
Madrid,Asepeyo Alcobendas,Sistema de Gestión Energética,1513,533,1500,2.8
,,Promover la cultura energética,1009,355,0,0
,,Instalación Fotovoltaica,14546,5125,8550,1.7
,,Mejora en el control de la iluminación,1558,549,1579,2.9
,,Eliminación de la energía reactiva,0,820,850,1
,Asepeyo Arganda del Rey,Instalación Fotovoltaica,62654,20381,38084,1.9
,,Sistema de Gestión Energética,3284,1068,1695,1.6
,,Instalación de temporizador digital en baño de parafina,969,315,20,0.1
,,Reducción del consumo remanente,5055,1644,239,0.1
,Asepeyo Chamartín,Instalación de temporizador digital en termo eléctrico,562,194,34,0
,,Reducción del consumo remanente,2545,881,170,0
,,Sistema de Gestión Energética,2831,979,1500,1.53
,,Promover la cultura energética,3775,1306,0,0
,,Optimización de la potencia contratada,0,4632,79,0
,,Regulación de la temperatura de consigna,1102,381,0,0
,Asepeyo Collado Villalba,Instalación Fotovoltaica,40933,13831,25389,1.8
,,Sistema de Gestión Energética,1793,606,1695,2.8
,,Regulación de ventilación mediante sonda de CO2,778,263,595,2.3
,,Regulación de la temperatura de consigna,1932,653,0,0
,,Reducción del consumo remanente,1975,667,90,0.1
,Asepeyo Eloy Gonzalo,Reducción del consumo remanente,4566,1426,1258,0.9
,,Sustitución luminarias a LED,30074,9392,10115,1.1
,,Sistema de Gestión Energética,5043,1575,4165,2.6
,Asepeyo Getafe,Sistema de Gestión Energética,1612,531,1500,2.8
,,Promover la cultura energética,1075,354,0,0
,,Regulación de la temperatura de consigna,3432,1156,0,0
,,Mejora en el control de la iluminación,2612,880,902,1
,Asepeyo Las Rozas,Eliminación de la energía reactiva,0,187,863,4.6
,,Sistema de Gestión Energética,1896,615,1695,2.8
,,Instalación de temporizador digital en baño de parafina,969,314,20,0.1
,,Regulación de la temperatura de consigna,3862,1252,0,0
,,Reducción del consumo remanente,2037,660,160,0.2
,Asepeyo Legazpi,Regulación de la temperatura de consigna,4902,1624,0,0
,,Instalación de temporizador digital en baño de parafina,998,331,36,0.1
,,Reducción del consumo remanente,3916,1297,288,0.2
,,Instalación de temporizador digital en termo eléctrico,2097,695,252,0.4
,,Sustitución luminarias a LED,14307,4740,4759,1
,,Sistema de Gestión Energética,3263,1081,1695,1.6
,Asepeyo Móstoles (NUEVO CA),Instalación de temporizador digital en termo eléctrico,562,194,120,1
,,Sistema de Gestión Energética,2096,694,1500,2.16
,,Promover la cultura energética,2795,926,0,0
,,Regulación de la temperatura de consigna,1812,627,0,0
,Asepeyo Pinto,Sistema de Gestión Energética,4659,1574,3000,1.9
,,Promover la cultura energética,1703,575,0,0
,,Instalación Fotovoltaica,15311,5173,9000,1.7
,,Mejora en el control de la iluminación,1336,451,2143,4.7
,,Regulación de la temperatura de consigna,23807,8044,0,0
,Asepeyo Torrejón de Ardoz,Sistema de Gestión Energética,1755,572,1695,3
,,Sustitución luminarias a LED,1715,559,1044,1.9
,,Instalación de temporizador digital en termo eléctrico,1123,366,60,0.2
,,Regulación de la temperatura de consigna,2370,772,0,0
,,Reducción del consumo remanente,2108,687,239,0.3
,Asepeyo Tres Cantos,Sistema de Gestión Energética,2318,764,1500,2
,,Promover la cultura energética,1545,509,0,0
,,Regulación de la temperatura de consigna,2852,940,0,0
,,Instalación Fotovoltaica,28977,9554,17100,1.8
,,Reducción del consumo remanente,2716,895,250,0.3
,Asepeyo Valdemoro,Promover la cultura energética,1031,360,0,0
,,Sistema de Gestión Energética,1546,540,1295,2.4
,,Regulación de la temperatura de consigna,3805,1328,0,0
,,Reducción del consumo remanente,3700,1291,150,0
Murcia,Asepeyo Cartagena,Promover la cultura energética,446,148,0,0
,,Instalación cortina de aire en puerta de entrada,995,331,1200,3.6
,,Sistema de Gestión Energética,669,223,1295,5.8
,,Instalación de temporizador digital en baño de parafina,969,322,20,0.1
,,Mejora en el control de la iluminación,533,177,336,1.9
,Asepeyo Lorca,Promover la cultura energética,552,188,0,0
,,Reducción del consumo remanente,2908,992,90,0.1
,,Sistema de Gestión Energética,828,278,1295,4.7
,,Regulación de la temperatura de consigna,3636,1240,0,0
,,Instalación de temporizador digital en termo eléctrico,1238,422,60,0.1
,Asepeyo Murcia,Promover la cultura energética,2234,751,0,0
,,Instalación cortina de aire en puerta de entrada,3145,1056,2400,2.3
,,Sistema de Gestión Energética,3352,1126,2495,2.2
,,Eliminación de la energía reactiva,0,448,1491,3.3
,,Mejora en el control de la iluminación,1218,409,540,1.3
